,Full Name,state,Total
712,Joseph Donaldson,MD,92.91
713,Joseph E Rowles,MD,1428.49
714,Joseph Eddy,RI,74.64
715,Joseph Gardner,RI,1238.57
716,Joseph Gilford,RI,247.12
717,Joseph Gilley,NH,5963.77
718,Joseph Green,NC,127.87
719,Joseph Hicks,NH,124.49
720,Joseph Horsfield,PA,5279.55
721,Joseph Huddell,PA,10853.28
722,Joseph Jenckes,RI,186.75
723,Joseph Kershaw,SC,3879.96
724,Joseph Le,PA,2152.5
725,Joseph Martin,RI,282.43
726,Joseph Mauran,RI,74.44
727,Joseph Myers,SC,236.4
728,Joseph Norse,US,92.25
729,Joseph Paschall,PA,3943.13
730,Joseph Potter,RI,6.65
731,Joseph R,PA,284.72
732,Joseph Sage,CT,112.86
733,Joseph Sands,MD,120.0
734,Joseph Sisson,RI,97.33
735,Joseph Skiffe,CT,480.87
736,Joseph Smith,RI,1242.97
737,Joseph Swift,PA,22357.42
738,Joseph Tagert,NC,309.13
739,Joseph Whidden,NH,82.32
740,Joseph Wilkinson,RI,40.0
741,Joseph Woodbridge,CT,366.2
742,Joshua Greene,RI,14.42
743,Joshua Mudd,MD,59.22
744,Joshua Owens,MD,187.5
745,Joshua Toppan,MA,1174.87
746,Joshua Ward,SC,218.19
747,Joshua Winsor,RI,34.21
748,Joshua Yates,MD,385.66
749,Josiah Collins,NC,4065.27
750,Josiah Hamphry,RI,288.15
751,Josiah Lockhart,PA,18765.03
752,Josiah Norton,VT,71.66
753,Josiah Watson,VA,3988.48
754,Jr Andrew,PA,5985.14
755,Juliana Buckingham,CT,997.42
756,Jun Andrew,PA,17700.21
757,Jun Christopher,PA,12612.0
758,Jun Daniel,PA,291.07
759,Jun Israel,PA,4759.9
760,Jun James,PA,468.44
761,Jun Joseph,PA,164.65
762,Jun Leonard,NY,34.06
763,Jun Margaret,PA,400.0
764,Jun Richard,MD,454.68
765,Jun Samuel,PA,800.0
766,Justina Lenen,PA,694.63
767,Kingsmill Davan,PA,110.76
768,Lawrence Brangle,MD,47.65
769,Lawrence Herbert,PA,1848.23
770,Lawrence Schultz,PA,9.11
771,Lawrence Seckel,PA,2408.7
772,Lemuel Bailey,RI,1153.32
773,Lemuel Bishop,RI,52.53
774,Lemuel Bruswell,CT,15.59
775,Lemuel Grosvenor,CT,424.51
776,Lemuel Sanders,MA,333.48
777,Leonard Dix,CT,270.12
778,Leonard Sellman,MD,246.64
779,Levi Warner,CT,16.16
780,Lewis Beard,NC,147.99
781,Lewis Brantz,MD,1429.22
782,Lewis Michael,PA,22.25
783,Lewis Morris,SC,2500.0
784,Lewis Neth,MD,3773.42
785,Lewis Timmon,SC,15.97
786,Lois Fellows,CT,840.0
787,Love Stone,SC,528.41
788,Lucy Chen,CT,2757.97
